,RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,RedElo,BlueElo
4146,Thomas Almeida,Cody Garbrandt,-200.0,170.0,50.0,170.0,2016-05-29,"Las Vegas, Nevada, USA", USA,Blue,False,Bantamweight,MALE,5,0,3,0,41.3333,0.34,0.0,1.3333,0.277,3,0,7,0,0,0,1,2,0,0,3,Orthodox,172.72,165.1,135,0,4,0,49.75,0.468,0.0,0.0,0.0,4,0,7,0,0,0,1,3,0,0,4,Southpaw,170.18,177.8,135,24,24,0,-1,-1,-1,0,0,0,-1,0,2.54,-12.7,0,-8.4167,0.0,1.3333,0.0,,7.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,Red,KO/TKO,Punches,1.0,2:53,173.0,535.0,600.0,1000.0,1600.0,105.0,240.0,1073.2287212435795,1059.3089767861277
4147,Renan Barao,Jeremy Stephens,-150.0,130.0,66.6667,130.0,2016-05-29,"Las Vegas, Nevada, USA", USA,Blue,False,Featherweight,MALE,3,1,0,0,34.2273,0.469,0.4091,1.2273,0.321,3,11,59,0,0,1,4,5,0,1,11,Orthodox,172.72,180.34,145,1,0,0,53.8,0.381,0.3,1.2,0.175,7,2,31,6,0,0,3,2,3,0,8,Orthodox,167.64,177.8,135,29,30,0,0,-4,3,-9,28,-6,4,-3,5.08,2.54,-1,-19.5727,0.1091,0.0273,0.0,9.0,,,,,,,,,,,,2.0,,,,,,,,,,,,9.0,,,,Blue,U-DEC,,3.0,5:00,900.0,205.0,375.0,350.0,1600.0,375.0,325.0,1101.8603408331535,1019.9568814804585
4148,Tarec Saffiedine,Rick Story,115.0,-135.0,115.0,74.0741,2016-05-29,"Las Vegas, Nevada, USA", USA,Blue,False,Welterweight,MALE,3,0,2,0,48.5882,0.422,0.8235,2.2941,0.601,6,6,46,0,0,3,4,2,2,0,11,Southpaw,175.26,180.34,170,0,1,0,72.0,0.433,0.3333,0.3333,0.11,1,1,11,0,0,0,2,0,0,0,2,Switch,177.8,177.8,170,29,31,0,1,5,9,-5,35,0,2,2,-2.54,2.54,-2,-23.4118,0.4902,1.9608,0.0,11.0,10.0,,,,,,,,10.0,,,,,,,,,,,,,11.0,,,,,,Red,U-DEC,,3.0,5:00,900.0,135.0,200.0,1650.0,1000.0,625.0,425.0,1028.3318719339231,1066.7921248402602
4149,Chris Camozzi,Vitor Miranda,125.0,-145.0,125.0,68.9655,2016-05-29,"Las Vegas, Nevada, USA", USA,Red,False,Middleweight,MALE,3,0,3,0,34.5,0.625,0.0,0.25,0.25,3,1,8,1,0,0,0,3,0,0,3,Orthodox,185.42,195.58,185,0,2,0,45.5333,0.487,0.4,0.2,0.05,4,7,37,0,0,2,3,1,1,1,8,Orthodox,187.96,193.04,185,29,37,0,1,-1,-5,6,-29,1,1,-1,-2.54,2.54,-8,-11.0333,-0.4,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,240.0,200.0,1250.0,1050.0,1100.0,200.0,1008.8015381831166,1043.7073462493784
4150,Jorge Masvidal,Lorenz Larkin,-115.0,-105.0,86.9565,95.2381,2016-05-29,"Las Vegas, Nevada, USA", USA,Blue,False,Welterweight,MALE,3,1,0,0,39.375,0.464,0.0,0.0,0.0,2,5,19,0,0,0,1,2,0,0,3,Orthodox,180.34,182.88,170,1,0,0,52.5556,0.51,0.5556,1.4444,0.383,3,3,26,0,0,0,4,1,1,0,6,Orthodox,180.34,187.96,170,31,29,0,0,-1,-3,-2,-7,0,1,-1,0.0,-5.08,2,-13.1806,-0.5556,-1.4444,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,175.0,155.0,1050.0,1800.0,700.0,400.0,1058.7878554985132,984.1201154049663
4151,Joshua Burkman,Paul Felder,245.0,-290.0,245.0,34.4828,2016-05-29,"Las Vegas, Nevada, USA", USA,Blue,False,Lightweight,MALE,3,0,1,0,47.4,0.434,0.6,0.6,0.3,2,2,14,0,0,1,0,1,1,0,3,Orthodox,180.34,177.8,155,0,1,0,31.4286,0.499,0.2857,2.1429,0.436,2,8,36,0,0,1,3,1,1,0,6,Orthodox,177.8,182.88,170,36,32,0,0,0,-3,6,-22,0,0,0,2.54,-5.08,4,15.9714,0.3143,-1.5429,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,550.0,110.0,700.0,675.0,850.0,300.0,987.4508587284605,1024.9138591254289
4152,Sara McMann,Jessica Eye,-125.0,105.0,80.0,105.0,2016-05-29,"Las Vegas, Nevada, USA", USA,Red,False,Women's Bantamweight,FEMALE,3,2,0,0,55.6,0.42,0.2,0.2,0.2,1,4,14,0,0,0,0,0,0,1,1,Orthodox,167.64,167.64,125,2,0,0,19.0,0.488,0.0,1.6,0.41,1,3,9,1,0,1,0,1,0,0,2,Orthodox,167.64,167.64,135,35,29,0,0,0,-1,-1,5,-1,0,0,0.0,0.0,6,36.6,0.2,-1.4,0.0,7.0,6.0,,,,6.0,,,,,,,,,,,,,7.0,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,125.0,242.0,1070.0,900.0,875.0,435.0,982.0591913220409,967.7443294606499
4153,Abel Trujillo,Jordan Rinaldi,-320.0,260.0,31.25,260.0,2016-05-29,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,145,0,2,0,24.75,0.37,0.375,1.25,0.529,2,3,15,0,0,0,0,3,1,0,5,Orthodox,172.72,177.8,155,32,28,0,-2,-2,-5,3,-15,0,-3,-1,5.08,5.08,4,-24.75,-0.375,-1.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,349.0,525.0,514.0,595.0,-120.0,1395.0,1063.6805484224778,1000.0
4154,Jake Collier,Alberto Uda,110.0,-130.0,110.0,76.9231,2016-05-29,"Las Vegas, Nevada, USA", USA,Red,False,Middleweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,195.58,185,1,0,0,34.6667,0.42,0.3333,0.6667,0.22,1,2,6,0,0,1,0,0,0,0,1,Orthodox,190.5,198.12,205,27,31,1,0,-1,-1,2,-6,0,0,0,0.0,-2.54,-4,-34.6667,-0.3333,-0.6667,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Spinning Back Kick,2.0,1:06,366.0,285.0,,456.0,,435.0,,979.1988680770561,1000.0
4155,Erik Koch,Shane Campbell,120.0,-140.0,120.0,71.4286,2016-05-29,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,MALE,3,1,0,0,50.3333,0.563,0.0,1.3333,0.353,1,2,7,0,0,0,1,0,0,0,1,Orthodox,182.88,180.34,155,1,0,0,19.1667,0.383,0.8333,0.0,0.0,2,3,11,0,0,0,1,2,0,0,3,Southpaw,177.8,180.34,155,27,29,0,0,-1,-2,1,-4,0,-2,0,5.08,0.0,-2,31.1667,-0.8333,1.3333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2.0,3:02,482.0,385.0,281.0,544.0,1400.0,430.0,216.0,1000.6159723559069,985.047686155512
4156,Aljamain Sterling,Bryan Caraway,-310.0,255.0,32.2581,255.0,2016-05-29,"Las Vegas, Nevada, USA", USA,Blue,False,Bantamweight,MALE,3,0,1,0,31.5714,0.327,0.8571,2.1429,0.38,2,2,19,0,0,0,1,0,4,0,5,Orthodox,172.72,172.72,135,0,4,0,40.75,0.525,1.25,3.0,0.7,4,0,11,0,0,0,1,1,2,0,4,Orthodox,170.18,180.34,135,26,31,0,-3,-2,1,-2,8,0,-1,2,2.54,-7.62,-5,-9.1786,-0.3929,-0.8571,0.0,8.0,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,8.0,,,Red,S-DEC,,3.0,5:00,900.0,-110.0,600.0,502.0,475.0,485.0,1675.0,1080.2295734678703,1059.1841956233352
4157,Chris de la Rocha,Adam Milstead,245.0,-290.0,245.0,34.4828,2016-05-29,"Las Vegas, Nevada, USA", USA,Blue,False,Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,193.04,205,1,0,0,1.0,0.08,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,190.5,203.2,250,37,28,1,0,0,0,1,-1,0,0,0,0.0,-10.16,9,-1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2.0,4:01,541.0,,904.0,,1095.0,,-160.0,978.7848109275557,1000.0
4158,Fabricio Werdum,Stipe Miocic,-185.0,160.0,54.0541,160.0,2016-05-14,"Curitiba, Parana, Brazil", Brazil,Blue,True,Heavyweight,MALE,5,0,2,0,54.6,0.514,0.0,1.6,0.382,3,2,26,0,0,0,3,5,0,0,8,Orthodox,193.04,203.2,240,0,6,0,48.2,0.598,0.2,0.6,0.166,6,2,23,2,0,0,2,4,2,0,8,Orthodox,193.04,195.58,231,38,33,0,-4,-3,0,0,3,-2,1,-2,0.0,7.62,5,6.4,-0.2,1.0,0.0,3.0,0.0,,,,,0.0,,,,,,,,4.0,,,,,3.0,,,,,,,,,Red,KO/TKO,Punch,1.0,2:47,167.0,325.0,508.0,250.0,3000.0,305.0,260.0,1121.3966111948787,1110.2010367041898
4159,Jacare Souza,Vitor Belfort,-280.0,240.0,35.7143,240.0,2016-05-14,"Curitiba, Parana, Brazil", Brazil,Red,False,Middleweight,MALE,3,0,1,0,10.7619,0.512,0.381,0.2857,0.131,3,7,31,6,0,0,0,11,2,1,14,Southpaw,182.88,187.96,185,1,0,0,20.0,0.537,1.0,1.5,0.395,5,1,12,0,0,0,1,1,3,0,5,Orthodox,185.42,182.88,185,36,39,1,1,-2,9,-6,19,6,11,-1,-2.54,5.08,-3,-9.2381,-0.619,-1.2143,0.0,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,Blue,KO/TKO,Punches,1.0,4:38,278.0,549.0,1450.0,-105.0,2700.0,375.0,320.0,1083.131553664532,1067.1974019892075
4160,Cris Cyborg,Leslie Smith,-1500.0,1200.0,6.6667,1200.0,2016-05-14,"Curitiba, Parana, Brazil", Brazil,Red,False,Catch Weight,MALE,3,0,1,0,51.25,0.388,0.0,0.0,0.0,1,2,9,0,0,0,1,1,0,0,2,Orthodox,175.26,167.64,135,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,145,30,33,0,1,1,2,-2,9,0,1,0,2.54,-5.08,-3,51.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,2000.0,,2950.0,,2000.0,1000.0,1000.0002429647682
4161,Mauricio Rua,Corey Anderson,140.0,-160.0,140.0,62.5,2016-05-14,"Curitiba, Parana, Brazil", Brazil,Red,False,Light Heavyweight,MALE,3,0,3,0,63.1667,0.48,0.0,3.3333,0.53,3,1,16,1,0,0,4,1,0,0,5,Orthodox,190.5,200.66,205,0,1,0,36.8,0.51,0.2667,1.2667,0.214,2,8,38,3,0,0,1,6,0,0,7,Orthodox,185.42,193.04,205,34,26,0,2,1,-2,7,-22,-2,-5,0,5.08,7.62,8,26.3667,-0.2667,2.0667,0.0,12.0,8.0,,,,,,8.0,,,,,,,,,,,,,12.0,,,,,,,,Red,S-DEC,,3.0,5:00,900.0,436.0,121.0,822.0,800.0,300.0,400.0,991.2620900275768,1072.482945871284
4162,Warlley Alves,Bryan Barberena,-600.0,450.0,16.6667,450.0,2016-05-14,"Curitiba, Parana, Brazil", Brazil,Blue,False,Welterweight,MALE,3,0,1,0,61.0,0.503,0.3333,0.6667,0.443,1,1,8,0,0,0,0,1,1,0,2,Southpaw,182.88,182.88,170,0,4,0,21.25,0.465,1.0,1.25,0.58,4,0,9,1,0,0,1,0,3,0,4,Orthodox,180.34,182.88,170,25,27,0,-3,-3,-2,-1,-1,-1,1,-2,2.54,0.0,-2,39.75,-0.6667,-0.5833,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,216.0,825.0,115.0,1665.0,505.0,1175.0,1081.1086375512912,1024.2722929898678
4163,Demian Maia,Matt Brown,-350.0,290.0,28.5714,290.0,2016-05-14,"Curitiba, Parana, Brazil", Brazil,Red,False,Welterweight,MALE,3,0,1,0,36.2,0.573,1.15,1.15,0.436,7,7,46,0,0,0,2,9,2,0,13,Orthodox,182.88,190.5,170,0,4,0,22.4091,0.517,0.9545,2.3636,0.386,5,6,58,1,0,0,8,1,7,0,16,Southpaw,185.42,182.88,170,38,35,0,-3,2,-3,-1,-12,-1,8,-5,-2.54,7.62,3,13.7909,0.1955,-1.2136,0.0,8.0,6.0,,,,,,,,6.0,,,,,,,,,,,,,8.0,,,,,,Red,SUB,Rear Naked Choke,3.0,4:31,871.0,230.0,520.0,121.0,2050.0,925.0,550.0,1106.9112720038252,1073.4810322807566
4164,Thiago Santos,Nate Marquardt,-360.0,300.0,27.7778,300.0,2016-05-14,"Curitiba, Parana, Brazil", Brazil,Red,False,Middleweight,MALE,3,0,1,0,24.15,0.519,0.7,1.45,0.448,4,8,42,1,0,0,4,5,3,0,12,Orthodox,182.88,187.96,185,0,3,0,21.0,0.447,0.0,0.1667,0.083,3,2,10,0,0,0,1,3,0,0,4,Orthodox,187.96,193.04,205,32,37,0,-2,1,8,-6,32,1,2,3,-5.08,-5.08,-5,3.15,0.7,1.2833,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,3:39,219.0,506.0,850.0,1253.0,815.0,-165.0,787.0,1043.7569966533,997.0174715941927
4165,Francisco Trinaldo,Yancy Medeiros,-275.0,235.0,36.3636,235.0,2016-05-14,"Curitiba, Parana, Brazil", Brazil,Red,False,Lightweight,MALE,3,0,1,0,25.4286,0.364,0.4286,0.0,0.0,2,4,10,0,0,1,0,0,2,0,3,Orthodox,177.8,190.5,155,0,5,0,31.8333,0.502,0.4167,0.75,0.269,5,3,28,0,0,1,4,2,2,0,9,Southpaw,175.26,177.8,155,37,28,0,-4,-3,-6,-1,-18,0,-2,0,2.54,12.7,9,-6.4048,0.0119,-0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,179.0,405.0,390.0,925.0,340.0,815.0,1107.4420713634806,1019.1222159455176
4166,John Lineker,Rob Font,-145.0,125.0,68.9655,125.0,2016-05-14,"Curitiba, Parana, Brazil", Brazil,Red,False,Bantamweight,MALE,3,0,2,0,32.0,0.495,0.0,0.5,0.1,2,0,3,0,0,0,0,2,0,0,2,Orthodox,172.72,180.34,135,0,3,0,54.2222,0.414,0.6667,0.4444,0.167,4,2,20,0,0,0,2,4,1,0,7,Orthodox,160.02,170.18,135,25,28,0,-1,-2,-5,2,-17,0,-2,-1,12.7,10.16,-3,-22.2222,-0.6667,0.0556,0.0,,12.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,350.0,350.0,625.0,550.0,260.0,310.0,1087.0316262059657,1039.198633329667
4167,Rogerio Nogueira,Patrick Cummins,195.0,-235.0,195.0,42.5532,2016-05-14,"Curitiba, Parana, Brazil", Brazil,Red,False,Light Heavyweight,MALE,3,1,0,0,38.7143,0.52,0.1429,4.2857,0.463,3,3,15,0,0,0,2,2,0,0,4,Orthodox,187.96,193.04,205,2,0,0,28.75,0.304,0.25,0.125,0.125,2,4,18,0,0,1,1,2,0,0,4,Southpaw,187.96,190.5,205,39,35,1,0,1,0,1,-3,0,0,0,0.0,2.54,4,9.9643,-0.1071,4.1607,0.0,11.0,10.0,,,,,,10.0,,,,,,,,,,,,,11.0,,,,,,,,Red,KO/TKO,Punches,1.0,4:52,292.0,560.0,115.0,634.0,1375.0,530.0,250.0,984.3013850561622,1024.0926746985463
4168,Renato Moicano,Zubaira Tukhugov,100.0,-120.0,100.0,83.3333,2016-05-14,"Curitiba, Parana, Brazil", Brazil,Red,False,Featherweight,MALE,3,0,3,0,32.0,0.4,0.0,1.3333,0.5,3,0,7,0,0,1,1,1,0,0,3,Orthodox,172.72,172.72,145,0,1,0,48.0,0.43,1.0,1.0,0.5,1,0,2,0,0,0,0,0,1,0,1,Orthodox,180.34,182.88,145,26,25,0,2,2,2,0,5,0,1,-1,-7.62,-10.16,1,-16.0,-1.0,0.3333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,185.0,332.0,655.0,1250.0,910.0,243.0,1018.8748422698895,1057.8913996463405
4169,Alistair Overeem,Andrei Arlovski,-240.0,200.0,41.6667,200.0,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands", Netherlands,Red,False,Heavyweight,MALE,5,1,0,0,21.7368,0.455,0.2632,0.1053,0.105,7,5,35,5,0,1,2,9,2,0,14,Orthodox,190.5,195.58,240,0,3,0,38.0,0.756,0.0,0.25,0.188,3,3,15,0,0,0,2,3,0,0,5,Orthodox,193.04,203.2,265,35,37,-1,-3,4,9,-2,20,5,6,2,-2.54,-7.62,-2,-16.2632,0.2632,-0.1447,0.0,5.0,3.0,,,,,3.0,,,,,,,,,,,,,5.0,,,,,,,,,Red,KO/TKO,Punch,2.0,1:12,372.0,750.0,1150.0,800.0,2500.0,-125.0,225.0,1051.5519406055482,1062.8874426219925
4170,Antonio Silva,Stefan Struve,185.0,-225.0,185.0,44.4444,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands", Netherlands,Blue,False,Heavyweight,MALE,3,1,0,0,24.4375,0.446,1.1875,0.25,0.25,4,6,29,0,1,0,1,4,4,0,10,Orthodox,210.82,213.36,265,1,0,0,18.5556,0.49,0.0,0.0,0.0,2,6,16,1,0,0,0,3,0,0,3,Orthodox,193.04,203.2,264,36,28,0,0,2,7,0,13,-1,1,4,17.78,10.16,8,5.8819,1.1875,0.25,0.0,,12.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Punch,1.0,0:16,16.0,885.0,575.0,777.0,500.0,325.0,115.0,973.7382731927147,1032.5419394782905
4171,Albert Tumenov,Gunnar Nelson,-155.0,135.0,64.5161,135.0,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands", Netherlands,Blue,False,Welterweight,MALE,3,1,0,0,20.1429,0.643,0.7143,1.0,0.679,4,2,16,0,0,0,1,0,4,0,5,Switch,180.34,182.88,170,0,5,0,37.3333,0.39,0.0,0.1667,0.167,5,1,12,0,0,1,1,3,0,0,5,Orthodox,180.34,185.42,170,24,27,-1,-5,-1,0,-1,4,0,-3,4,0.0,-2.54,-3,-17.1905,0.7143,0.8333,0.0,,13.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,Red,SUB,Rear Naked Choke,2.0,3:15,495.0,197.0,465.0,1920.0,330.0,235.0,1475.0,1078.0881511572086,1051.477936379525
4172,Germaine de Randamie,Anna Elmose,-400.0,325.0,25.0,325.0,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands", Netherlands,Red,False,Women's Bantamweight,FEMALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,160.02,165.1,115,0,1,0,26.6667,0.367,0.0,0.0,0.0,1,1,6,0,0,1,0,1,0,0,2,Orthodox,175.26,180.34,135,32,31,0,-1,-1,-2,1,-6,0,-1,0,-15.24,-15.24,1,-26.6667,0.0,0.0,0.0,,14.0,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Knee,1.0,3:46,226.0,180.0,545.0,1000.0,1670.0,105.0,1050.0,1018.853993499839,1000.0
4173,Nikita Krylov,Francimar Barroso,-200.0,170.0,50.0,170.0,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands", Netherlands,Red,False,Light Heavyweight,MALE,3,0,2,0,42.5,0.523,0.0,1.5,0.218,2,1,12,0,0,0,3,0,0,0,3,Orthodox,185.42,190.5,205,0,3,0,22.1667,0.62,0.6667,0.0,0.0,3,2,8,0,0,0,0,2,2,0,4,Orthodox,190.5,195.58,205,24,36,0,-1,-1,-1,1,4,0,-2,-2,-5.08,-5.08,-12,20.3333,-0.6667,1.5,0.0,,14.0,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,Red,SUB,Rear Naked Choke,2.0,3:11,491.0,500.0,370.0,331.0,700.0,165.0,550.0,1042.74109095041,1037.203333827675
4174,Karolina Kowalkiewicz,Heather Jo Clark,-320.0,260.0,31.25,260.0,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands", Netherlands,Red,False,Women's Strawweight,FEMALE,3,0,1,0,56.0,0.56,1.0,1.0,0.2,1,0,3,0,0,0,1,0,0,0,1,Orthodox,167.64,162.56,115,0,1,0,66.0,0.39,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,160.02,162.56,115,30,35,0,0,0,0,0,0,0,0,0,7.62,0.0,-5,-10.0,1.0,1.0,0.0,,10.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,-128.0,442.0,827.0,1235.0,450.0,855.0,1020.1319629984775,1020.0
4175,Rustam Khabilov,Chris Wade,-165.0,145.0,60.6061,145.0,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands", Netherlands,Red,False,Lightweight,MALE,3,0,4,0,21.0,0.415,0.5,2.75,0.753,4,0,8,0,0,0,2,0,2,0,4,Orthodox,177.8,177.8,155,0,1,0,19.5,0.333,0.1667,3.3333,0.465,3,2,15,0,0,0,2,1,0,1,4,Orthodox,172.72,185.42,155,29,28,0,3,1,0,2,-7,0,-2,2,5.08,-7.62,1,1.5,0.3333,-0.5833,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,155.0,230.0,535.0,875.0,385.0,1675.0,1043.6299922928586,1075.435623861598
4176,Magnus Cedenblad,Garreth McLellan,-250.0,210.0,40.0,210.0,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands", Netherlands,Red,False,Middleweight,MALE,3,0,1,0,55.0,0.665,1.5,1.0,0.2,1,1,6,0,0,0,0,1,0,0,1,Southpaw,185.42,182.88,185,0,3,0,13.75,0.573,0.75,1.5,0.275,3,1,8,0,0,0,1,0,2,0,3,Orthodox,195.58,200.66,185,34,33,0,-2,-2,-2,0,-2,0,1,-2,-10.16,-17.78,1,41.25,0.75,-0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,2.0,0:47,347.0,221.0,515.0,165.0,953.0,488.0,910.0,1040.7922013247369,1001.1500225556907
4177,Jon Tuck,Josh Emmett,-110.0,-110.0,90.9091,90.9091,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands", Netherlands,Blue,False,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,177.8,145,0,1,0,38.4,0.426,1.0,0.6,0.12,1,2,13,0,0,0,1,1,1,0,3,Orthodox,180.34,185.42,155,31,31,0,-1,-1,-3,2,-13,0,-1,-1,-12.7,-7.62,0,-38.4,-1.0,-0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,296.0,240.0,488.0,565.0,450.0,515.0,1019.0355943087804,1000.0
4178,Yan Cabral,Reza Madadi,-160.0,140.0,62.5,140.0,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands", Netherlands,Blue,False,Lightweight,MALE,3,1,0,0,36.25,0.643,0.75,2.75,0.478,1,2,11,0,0,0,0,0,2,0,2,Orthodox,180.34,182.88,155,1,0,0,20.75,0.51,1.0,2.5,0.418,1,2,11,0,0,0,1,0,1,0,2,Orthodox,180.34,185.42,155,32,37,0,0,0,0,0,0,0,0,1,0.0,-2.54,-5,15.5,-0.25,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,3.0,1:56,716.0,174.0,240.0,330.0,910.0,799.0,750.0,999.6190529803891,1000.2405478638384
4179,Kyoji Horiguchi,Neil Seery,-600.0,450.0,16.6667,450.0,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands", Netherlands,Red,False,Flyweight,MALE,3,0,1,0,44.4,0.41,1.8,1.0,0.346,2,2,14,0,0,0,2,0,1,0,3,Orthodox,162.56,162.56,125,0,1,0,46.5,0.473,0.0,0.8333,0.338,4,1,17,1,0,0,3,2,0,0,5,Orthodox,165.1,167.64,125,25,36,0,0,-2,-2,-1,-3,-1,-2,1,-2.54,-5.08,-11,-2.1,1.8,0.1667,0.0,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,-160.0,650.0,524.0,1370.0,345.0,1600.0,1069.2958204893912,1021.5862174153754
4180,Leon Edwards,Dominic Waters,-270.0,230.0,37.037,230.0,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands", Netherlands,Red,False,Welterweight,MALE,3,2,0,0,6.5,0.12,0.0,2.5,0.5,0,2,4,0,0,0,0,0,0,0,0,Orthodox,185.42,200.66,170,1,0,0,24.5,0.623,0.0,0.0,0.0,2,2,10,0,0,0,1,1,0,0,2,Southpaw,182.88,187.96,170,24,27,-1,0,-2,-2,0,-6,0,-1,0,2.54,12.7,-3,-18.0,0.0,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,187.0,450.0,754.0,985.0,175.0,520.0,1001.4902492699298,966.9229095375182
