,RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,RedElo,BlueElo
20,Alexandr Romanov,Rodrigo Nascimento,,,,,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Heavyweight,MALE,3,1,0,0,3.71,0.47,0.5,1.02,0.37,3,2,18,0,0,2,1,0,2,0,5,Orthodox,187.96,203.2,246,1,0,0,3.78,0.51,0.9,4.49,0.55,5,3,17,0,0,1,1,1,3,0,6,Southpaw,187.96,190.5,262,33,31,0,0,-2,-1,-1,1,0,-1,-1,0.0,12.7,-2,-0.07,-0.4,-3.47,,15.0,13.0,,,,,13.0,,,,,,,,,,,,,15.0,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,,,,,,,1046.9915720463057,1058.649860070708
21,Serhiy Sidey,Garrett Armfield,,,,,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Bantamweight,MALE,3,1,0,0,5.35,0.53,0.6,1.1,0.5,2,2,9,0,0,0,1,1,0,0,2,Orthodox,167.64,177.8,135,1,0,0,4.87,0.39,1.4,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,Switch,180.34,182.88,135,28,28,0,0,1,1,1,5,0,0,0,-12.7,-5.08,0,0.48,-0.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,,,,,,,980.0,1000.7641082752757
22,Chad Anheliger,Cody Gibson,,,,,2024-11-02,"Edmonton, Alberta, Canada",Canada,Blue,False,Bantamweight,MALE,3,0,1,0,3.47,0.44,0.7,2.18,0.4,1,5,16,0,0,0,0,1,1,0,2,Orthodox,177.8,180.34,135,0,1,0,3.11,0.46,0.5,0.68,0.3,2,2,15,0,0,1,1,1,0,0,3,Orthodox,167.64,162.56,135,37,37,0,0,-1,-1,3,1,0,0,1,10.16,17.78,0,0.36,0.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,,,,,,,999.1211523614442,952.2608031415465
23,Jamey-Lyn Horth,Ivana Petrovic,,,,,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Women's Flyweight,FEMALE,3,0,1,0,2.0,0.39,1.1,2.53,0.43,1,1,6,0,0,0,0,0,1,0,1,Southpaw,172.72,177.8,125,1,0,0,3.29,0.56,0.0,1.0,0.37,1,1,6,0,0,0,1,0,0,0,1,Orthodox,170.18,167.64,125,34,30,-1,1,0,0,0,0,0,0,1,2.54,10.16,-4,-1.29,1.1,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,,,,,,,1000.0662003780632,998.4442817439227
24,Ilia Topuria,Max Holloway,-305.0,245.0,32.7869,245.0,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,True,Featherweight,MALE,5,0,3,0,7.16,0.47,0.3,0.25,0.53,13,7,98,9,0,1,8,11,2,0,22,Orthodox,180.34,175.26,145,0,7,0,4.69,0.47,1.1,2.02,0.61,7,0,16,1,0,0,2,4,1,0,7,Orthodox,170.18,175.26,145,27,32,0,-4,6,15,7,82,8,7,1,10.16,0.0,5,2.47,-0.8,-1.77,,2.0,0.0,,,,,,,,,,0.0,,,4.0,,,,,,,,,5.0,2.0,,,11.0,Red,KO/TKO,Punch,3.0,1:34,694.0,225.0,450.0,500.0,2800.0,165.0,550.0,1146.9797205877624,1232.1328273583517
25,Robert Whittaker,Khamzat Chimaev,200.0,-245.0,200.0,40.8163,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Middleweight,MALE,3,0,7,0,5.36,0.58,2.8,4.31,0.46,7,0,12,0,1,0,1,2,3,0,7,Orthodox,187.96,190.5,185,0,2,0,4.54,0.43,0.0,0.8,0.38,9,5,64,4,0,1,10,6,0,0,17,Orthodox,182.88,185.42,185,33,30,0,5,-2,-10,-5,-52,-4,-4,3,5.08,5.08,-3,0.82,2.8,3.51,,13.0,3.0,,,,,,,3.0,,,,,,,,,,,,,13.0,,,,,,,Red,SUB,Rear Naked Choke,1.0,3:34,214.0,600.0,550.0,2500.0,240.0,380.0,175.0,1200.0487870414627,1148.2323760450424
26,Magomed Ankalaev,Aleksandar Rakic,-340.0,270.0,29.4118,270.0,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,MALE,3,2,0,0,4.16,0.5,0.1,0.66,0.23,4,3,22,0,0,0,4,2,0,0,6,Orthodox,193.04,198.12,205,0,10,1,3.64,0.52,0.0,0.92,0.31,9,1,33,1,0,0,4,6,0,0,10,Orthodox,190.5,190.5,205,32,32,2,-10,-5,-4,2,-11,-1,-4,0,2.54,7.62,0,0.52,0.1,-0.26,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,-115.0,,1600.0,,225.0,,1165.6051074994355,1060.115622956486
27,Lerone Murphy,Dan Ige,-340.0,270.0,29.4118,270.0,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Featherweight,MALE,3,1,0,0,3.66,0.45,0.2,0.99,0.26,6,7,49,0,0,2,3,4,2,0,11,Orthodox,170.18,180.34,145,0,6,1,4.8,0.54,0.6,1.78,0.54,6,0,20,0,0,1,3,2,0,0,6,Orthodox,175.26,185.42,145,33,33,1,-6,0,5,7,29,0,2,2,-5.08,-5.08,0,-1.14,-0.4,-0.79,,14.0,12.0,,,,,,,,,,12.0,,,,,,,,,,,,,14.0,,,,Red,U-DEC,,3.0,5:00,900.0,-175.0,400.0,2500.0,1800.0,500.0,800.0,1118.301595094642,1058.6041483817169
28,Shara Magomedov,Armen Petrosyan,-166.0,140.0,60.241,140.0,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Middleweight,MALE,3,1,0,0,5.95,0.52,0.0,0.19,0.33,2,2,14,0,0,1,2,1,0,0,4,Orthodox,190.5,180.34,185,0,3,0,6.82,0.65,0.0,0.0,0.0,3,0,9,0,0,0,2,1,0,0,3,Orthodox,187.96,185.42,185,30,33,1,-3,-1,1,2,5,0,0,0,2.54,-5.08,3,-0.87,0.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Spinning Back Fist,2.0,4:52,592.0,120.0,215.0,2800.0,2800.0,300.0,800.0,1059.336820909579,1020.3467331675447
29,Ibo Aslan,Rafael Cerqueira,-108.0,-112.0,92.5926,89.2857,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,MALE,3,0,0,0,1.18,0.1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,190.5,193.04,205,0,2,0,8.34,0.5,0.0,0.0,0.0,2,0,4,0,0,0,0,2,0,0,2,Orthodox,190.5,195.58,205,28,34,0,-2,-2,-2,0,-4,0,-2,0,0.0,-2.54,6,-7.16,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,0:51,51.0,650.0,700.0,2000.0,600.0,150.0,165.0,1016.9124587311811,1000.0
